Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-54;992105.187;1104625.74;489.61;Lcc;Productiva;MA250;0.05;4.99;17;528;2;0.42;6.71;2.19;68.3;9.7;9;0.05;11;1.54;14.74;0.05;0.01;0.05;31.4;0.1;1.63;538;2.25;0.5808;3.37;16.5;0.141;2.79;0.8;0;0.45;0.75;4.1;0.4;91;0.2;1.38;5.1;0.112;0.03;1.2;45;0.5;9.3;32;0.5
PA-57;992178.36;1104890.38;547.31;Lcc;Productiva;MA250;0.07;4.06;82.3;117;0.5;1.77;14.09;1.97;41.34;35.2;12;0.05;24.8;3.15;11.01;0.04;0.02;0.08;19.2;2.7;1.68;991;1.6;0.4044;1.51;54.2;0.171;5.06;2.7;0;1.07;4.1;5.2;1.3;59;0.1;2.74;4.9;0.046;0.1;1.9;59;0.2;14.5;91.7;1.7
PA-76;992104.199;1104625.1;490.6;Lcc;Productiva;MA250;0.084;2.57;25.9;164;0.5;0.24;11.85;2.25;62.97;17.4;14;0.05;7.2;2.26;8.74;0.04;0.005;0.06;30.2;0.4;3.76;1191;1.3;3.609;1.69;24.7;0.139;1.75;1.3;0.004;0.63;0.54;5.1;0.5;74;0.1;3.08;3.2;0.05;0.025;0.8;63;0.3;8.3;44.8;1
PA-77;992104.199;1104625.1;490.6;Lcc;Productiva;MA250;0.077;3.25;25.9;141;0.5;0.3;11.71;2.6;9.4;24.3;10;0.05;19.7;2.81;7.28;0.01;0.03;0.05;3.7;5.3;3.06;1415;1.78;3.023;1.47;29.9;0.242;1.95;1.6;0.001;0.69;1.33;4;0.8;130;0.1;3.37;3.1;0.039;0.07;2;52;0.2;10.6;124;0.6
PA-79;992147.980;1104748.13;523.84;Lcc;Productiva;MA250;0.11;3.17;10.5;479;0.5;0.37;15.15;0.62;14.56;5.9;10;0.05;3;1.55;7.23;0.01;0.02;0.09;6.5;1.7;3.83;1287;0.86;29.500;1.97;10.3;0.134;1.54;3.1;0.002;0.29;0.58;6;0.4;98;0.2;4.52;3.1;0.053;0.2;2.5;54;0.3;10.6;113.4;0.7
PA-80;992144.50;1104704.35;526.87;Lcc;Productiva;MA250;0.05;3.19;7.5;476;2;0.08;9.14;0.69;15.05;9.5;12;0.05;2.9;1.59;12.79;0.01;0.005;0.87;7;2.6;3.7;1050;7.18;30.740;3.1;12.5;0.079;0.6;15.1;0.008;0.3;0.33;3.8;0.15;67;0.2;2.88;2.8;0.102;0.18;0.9;107;0.4;6.3;65.6;0.6
PA-83;992142.474;1104723.81;524.72;Lcc;Productiva;MA250;0.213;9.06;92.1;134;3;2.28;2.96;0.88;21.05;15.3;103;0.3;18.5;3.94;40.39;0.02;0.04;1.87;8.5;10.9;0.7;184;4.51;38.290;2.23;50.6;0.221;8.91;42.5;0.003;0.78;3.92;17.9;1;36;0.2;0.14;2.3;0.106;0.37;1;517;0.3;5.2;84.1;1.4
PA-86;992141.633;1104717.64;513.04;Lcc;Productiva;MA250;1.467;1.89;15.9;106;0.5;0.11;15;29.67;34.99;19;10;0.05;21.8;3.15;5.77;0.02;0.03;0.49;16.8;2.5;4.27;931;1.2;11.730;0.97;30.1;0.045;7.5;13.8;0.003;1.94;0.57;7.5;0.5;45;0.05;4.27;3.2;0.03;0.13;1.3;40;6.7;13.9;756.2;1
PA-87;992141.633;1104717.64;513.04;Lcc;Productiva;MA250;0.653;6.78;85.2;373;1;3.54;6.29;16.01;22.77;17.6;14;0.6;36.2;4.1;19.11;0.03;0.04;0.24;10.4;1.6;0.86;345;5.26;47.950;2.05;48.8;0.173;12.79;7.8;0.006;1.12;6.49;5;1.2;64;0.1;0.57;6.1;0.063;0.33;1.5;77;0.5;9.9;590.4;1
PA-88;992146.804;1104744.83;515.92;Lcc;Productiva;MA250;0.184;1.96;49;34;0.5;1.7;16.58;1.36;12.85;17.6;10;0.05;24.6;3.79;7.77;0.03;0.03;0.28;4.8;1;2.55;1191;4.59;17.380;2.42;39.1;0.141;5.39;8.3;0.005;1.14;3.1;4.1;1;71;0.2;3.3;1.7;0.07;0.14;1.8;91;0.4;19.9;153.6;1.3
