Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-31;992132.547;1104684.67;522.09;Veta;Productiva;MA250;0.224;2.75;234.7;35;9;0.45;13.84;5.85;91.81;65;19;0.2;16.7;10.32;7.79;0.08;0.01;0.18;45.6;1.8;3.51;644;2.76;1.892;0.52;192.8;0.064;3.69;9.6;0.002;2.36;1.15;24.4;3.4;78;0.05;1.73;1.9;0.018;0.08;2.6;58;0.1;17.2;390;0.6
PA-32;992132.547;1104684.67;522.09;Veta;Productiva;MA250;0.051;0.8;8.3;43;0.5;0.18;34.77;2;26.08;4.6;1;0.05;2.7;0.73;2.37;0.01;0.01;0.01;8.8;0.5;0.23;1006;0.37;0.575;0.53;7;0.08;4.44;0.5;0.002;0.78;0.34;16.9;1.5;139;0.05;4.44;1.6;0.013;0.03;2;3;0.2;240.4;34.6;0.7
PA-35;992143.3;1104735.3;521.84;Veta;Productiva;MA250;0.054;0.82;1;104;0.5;0.11;30.62;2.02;4.32;0.8;6;0.05;4.1;0.63;2.87;0.01;0.01;0.09;1.5;0.6;1.29;949;0.35;0.483;0.52;1.8;0.02;3.02;3.9;0.001;0.18;0.2;21.3;0.4;267;0.05;3.34;0.7;0.016;0.03;1.3;47;0.05;42.6;54.9;0.1
PA-39;992148.945;1104712.24;514.81;Veta;Productiva;MA250;0.154;0.22;11.4;14;0.5;0.02;29.92;4.48;52.26;2.6;2;0.1;3.7;1.43;0.76;0.01;0.02;0.01;24;0.9;0.94;929;0.18;0.163;0.36;7.4;0.003;2.25;0.7;0.005;1.02;0.14;25.3;0.7;77;0.05;5.79;1.1;0.008;0.025;0.8;5;0.1;58.2;38.1;0.2
PA-55;992105.417;1104625.3;489.61;Veta;Productiva;MA250;0.12;0.72;4.4;96;17;0.04;28.64;3.27;40.29;1.6;6;0.1;3.2;1.54;2.62;0.03;0.03;0.08;16.7;1.2;4.26;1130;0.35;0.477;0.47;2.8;0.017;1.22;3.6;0;0.18;0.23;77.6;0.9;297;0.05;8.68;0.5;0.013;0.03;0.2;31;0.1;135.3;21.1;0.1
PA-58;992177.668;1104889.4;547.31;Veta;Productiva;MA250;0.05;0.56;8.6;80;0.5;0.19;38.72;3.41;109.87;1.2;2;0.05;4.3;0.53;2.15;0.01;0.03;0.02;60.6;3;0.49;1349;0.49;0.376;0.93;2.2;0.025;6.8;1;0.01;0.14;0.35;23.4;0.7;99;0.05;6.84;2.6;0.024;0.03;2;21;0.2;91.4;77.8;0.1
PA-74;992141.911;1104726.06;526.87;Veta;Productiva;MA250;0.075;0.65;3.2;78;0.5;0.06;32.74;1.26;11.16;1;3;0.05;2.3;0.69;2.13;0.01;0.02;0.04;4.7;3;1.53;992;0.31;0.446;0.6;1.8;0.042;1.43;1.6;0.005;0.13;0.22;41.9;0.15;163;0.05;8.56;0.7;0.015;0.025;1.5;31;0.1;31.9;53;0.2
PA-75;992104.199;1104625.1;490.6;Veta;Productiva;MA250;0.096;0.17;0.2;95;0.5;0.02;25.38;10.27;54.64;0.6;4;0.05;7.7;1.32;0.74;0.01;0.02;0.01;19.7;1.1;3.69;1087;0.12;0.125;0.19;4.7;0.007;0.95;0.7;0.003;0.1;0.22;61.8;0.8;485;0.05;6.69;0.3;0.004;0.025;0.1;21;0.1;131.8;34.8;0.4
PA-78;992147.980;1104748.13;523.84;Veta;Productiva;MA250;0.054;0.79;3.6;48;0.5;0.12;33.13;1.33;8.8;1.5;2;0.05;8;0.53;2.26;0.02;0.01;0.05;4;1.6;0.63;832;0.46;0.542;1.25;3.1;0.042;1.74;2.2;0.004;0.23;0.38;17.5;0.6;154;0.05;6.86;0.6;0.034;0.025;1.1;26;0.2;123.9;51.8;0.3
PA-81;992144.50;1104704.35;526.87;Veta;Productiva;MA250;0.079;1.16;15.6;57;0.5;0.02;29.66;1.32;110.19;6.7;3;0.05;1.6;3.38;2.91;0.01;0.08;0.02;40.7;0.8;0.62;1052;0.9;0.887;1.03;14.4;0.012;2.02;0.8;0.002;1.9;0.09;8.1;1.2;93;0.05;4.6;1.4;0.025;0.025;1;8;0.1;76.4;22.6;0.5
PA-84;992142.474;1104723.81;524.72;Veta;Productiva;MA250;0.054;0.02;0.1;143;2;0.02;36.83;1.09;684.06;0.1;1;0.05;1;0.25;2.9;0.08;0.005;0.01;355.1;0.2;0.36;1150;0.13;0.021;0.15;0.05;0.001;0.7;0.1;0.008;0.05;0.05;20.9;3.8;175;0.05;7.17;21.5;0.001;0.025;0.1;1;0.2;450.3;14.6;1.1
PA-85;992141.633;1104717.64;513.04;Veta;Productiva;MA250;1.243;5.67;38;324;2;0.24;7.61;3.56;59.36;18.4;40;0.2;20.6;3.3;14.8;0.13;0.03;1.28;28.8;1.7;1.46;605;27.53;32.460;2.13;56.3;0.066;3.7;22.6;0.011;1.18;5.03;8.5;5.4;56;0.2;1.08;5.3;0.075;0.55;1.9;258;11.9;8.7;610.7;1.2
PA-91;992141.875;1104694.86;515.09;Veta;Productiva;MA250;0.05;2.04;118.9;12;0.5;0.13;15.35;1.27;4.9;54.5;14;0.01;8;8.28;0;1.8;6;0.04;2.1;0.05;5.63;721;1.68;1.649;5.69;199.7;0.05;1.15;0.98;4;8.98;0.31;54;0.83;41;0.05;0.03;0.5;0.031;12.9;0.4;47;0.2;1;63.7;0.5
PA-94;992154.676;1104698.79;541.88;Veta;Productiva;MA250;0.03;0.18;2.6;76;0.5;0.02;34.78;0.77;23.7;0.1;1;0.02;1;0.62;0;1.1;21.04;0.02;7.4;0.05;2.28;1523;0.07;0.097;0.47;1.6;0.016;2.72;0.2;0.4;0.02;0.16;18.1;1.49;150;0.05;0.03;0.3;0.005;183.1;1.2;4;0.05;4.3;28.1;0.1
PA-95;992120.1;1104519.49;552.67;Veta;Productiva;MA250;0.02;3.41;10.6;197;0.5;0.11;21.78;4.15;7.3;14.1;15;0.02;5.1;1.99;0;4.1;7.46;0.09;2.9;0.1;2.51;1164;0.91;2.893;8.77;23.1;0.075;2.83;1.98;0.4;1.14;0.66;13.7;1.14;101;0.05;0.03;4;0.062;33.6;1.7;57;0.3;1.4;40.5;0.5
PA-97;992172.136;1104902.1;543.35;Veta;Productiva;MA250;0.01;0.42;1.9;19;0.5;0.06;36.47;4.37;15;0.2;5;0.02;5.5;0.34;0;2.1;20.65;0.05;9.8;0.05;0.21;1150;0.25;0.211;1.45;1.2;0.013;4.88;0.38;0.4;0.02;1.06;11.8;1.41;124;0.05;0.03;0.6;0.011;88.9;1.4;25;0.05;3.4;81.1;0.1
PA-99;992069.965;1104366.07;66.19;Veta;Productiva;MA250;0.01;0.45;2.4;5;0.5;0.02;36.33;1.66;55.9;0.7;2;0.01;0.6;0.35;0;1.7;55.8;0.04;22.1;0.05;0.51;1447;0.17;0.329;1.31;0.9;0.02;1.11;0.55;0.3;0.02;0.08;6.5;1.25;121;0.05;0.03;0.8;0.015;259;0.8;8;0.1;9.8;28.6;0.1
PA-24;992027.620;1104910.35;643.91;Veta;No productiva;MA250;0.148;0.07;1.9;115;0.5;0.02;40;1.52;81.81;0.6;0.5;0.05;0.8;0.27;0.54;0.38;0.03;0.005;33.4;1.1;0.35;1314;0.22;0.042;0.17;0.05;0.002;0.81;0.1;0.007;0.02;0.08;6.1;0.9;312;0.05;4.46;0.3;0.003;0.025;0.2;2;0.05;92.8;11.1;16.8
PA-59;992103.865;1104736.84;598.9;Veta;No productiva;MA250;0.03;5.72;27.4;49;1;1.4;9.97;0.35;32.58;13.1;17;0.2;13.8;1.65;18.85;0.04;0.02;0.71;15.7;2;1.68;680;2.03;4.851;4.83;25.3;0.132;5.03;22.6;0;0.5;1.56;8.5;0.4;49;0.4;2.44;7.9;0.166;0.13;2.1;115;0.6;8.8;25.3;1.9
PA-62;992021.327;1104915.99;643.03;Veta;No productiva;MA250;0.06;0.43;0.2;322;0.5;0.07;40;5.56;85.92;1;1;0.05;4.4;0.34;1.56;0.02;0.04;0.01;36.5;7.2;0.41;1372;0.18;0.106;0.62;2.1;0.015;1.07;0.6;0;0.04;1.47;7.4;0.9;334;0.05;5.57;0.9;0.016;0.03;1.2;6;0.2;101.9;221.4;0.2
PA-72;992108.38;1104621.49;490.6;Veta;No productiva;MA250;0.066;0.65;56.6;17;0.5;0.11;27.7;4.21;4.54;22.7;6;0.05;6.2;7.99;2.11;0.07;0.03;0.11;1.5;1.9;0.77;967;0.24;0.353;0.21;95.7;0.008;1.92;4.7;0.003;2.14;0.25;11.4;1.5;108;0.05;3.69;0.2;0.005;0.025;0.4;34;0.1;24.7;41.9;2.7
PA-96;992179.98;1104712.87;541.16;Veta;No productiva;MA250;0.04;2.61;216.9;18;0.5;0.59;13.36;0.19;13.2;52.3;22;0.01;3.7;6.49;0;10.1;21.56;0.25;9.4;0.2;7.08;407;1.59;1.822;5.19;255.4;0.024;4.86;2.24;6.8;6.9;1.23;52.6;1.13;60;0.3;0.1;2;0.062;26;0.2;48;0.2;2.9;11.5;0.5
